등록번호,표찰번호,지번주소,도로명주소,경도,위도,데이터제공일자
8593,북부순환로 (장등교차로) (LP - 6) 22,장등동 산 170-3,,35.211357,126.92363,2022-11-10
8594,북부순환로 (장등교차로) (LP - 6) 23,장등동 산 170-3,,35.211208,126.92395,2022-11-10
8595,북부순환로 (장등교차로) (LP - 6) 24,장등동 산 170-3,,35.211098,126.924171,2022-11-10
8596,북부순환로 (장등교차로) (LP - 6) 25,장등동 산 170-3,,35.210949,126.9245,2022-11-10
8597,북부순환로 (장등교차로) (LP - 6) 26,장등동 1046-2,,35.210804,126.924805,2022-11-10
8598,북부순환로 (장등교차로) (LP - 6) 42,장등동 산 170-3,,35.211155,126.924339,2022-11-10
8599,북부순환로 (장등교차로) (LP - 6) 41,장등동 산 170-3,,35.211281,126.924126,2022-11-10
8600,북부순환로 (장등교차로) (LP - 6) 40,장등동 산 170-3,,35.211407,126.92392,2022-11-10
8601,북부순환로 (장등교차로) (LP - 6) 39,장등동 산 170-3,,35.211605,126.923569,2022-11-10
8602,북부순환로 (장등교차로) (LP - 6) 38,장등동 산 167-3,,35.211746,126.923317,2022-11-10
8603,북부순환로 (장등교차로) (LP - 6) 37,장등동 산 167-3,,35.211868,126.923096,2022-11-10
8604,북부순환로 (장등교차로) (LP - 6) 36,장등동 산 167-3,,35.211979,126.92289,2022-11-10
8605,북부순환로 (장등교차로) (LP - 6) 35,장등동 948-2,,35.212105,126.922623,2022-11-10
8606,북부순환로 (장등교차로) (LP - 6) 34,장등동 948-2,,35.212231,126.922325,2022-11-10
8607,북부순환로 (장등교차로) (LP - 6) 33,장등동 산 163-4,,35.212437,126.921883,2022-11-10
8608,북부순환로 (장등교차로) (LP - 6) 32,장등동 산 162-2,,35.212551,126.921646,2022-11-10
8609,북부순환로 (장등교차로) (LP - 6) 31,장등동 산 162-2,,35.212624,126.92141,2022-11-10
8610,북부순환로 (장등교차로) (LP - 6) 30,장등동 산 162-2,,35.212708,126.921196,2022-11-10
8611,북부순환로 (LP - 9) 1,장등동 695-6,,35.210732,126.924942,2022-11-10
8612,북부순환로 (LP - 9) 2,장등동 695-6,,35.2106627,126.925064,2022-11-10
8613,북부순환로 (LP - 9) 3,장등동 695-6,,35.2105765,126.9252188,2022-11-10
8614,북부순환로 (LP - 9) 4,장등동 694-4,,35.2104844,126.9254009,2022-11-10
8615,북부순환로 (LP - 9) 5,장등동 694-4,,35.2103785,126.9256694,2022-11-10
8616,북부순환로 (LP - 9) 6,장등동 산 167-4,,35.210102,126.926178,2022-11-10
8617,북부순환로 (LP - 9) 7,장등동 700-1,,35.209908,126.926498,2022-11-10
8618,북부순환로 (LP - 9) 8,장등동 929-1,,35.209713,126.926819,2022-11-10
8619,북부순환로 (LP - 9) 9,장등동 701-1,,35.209518,126.927116,2022-11-10
8620,북부순환로 (LP - 9) 10,장등동 703-1,,35.209351,126.927422,2022-11-10
8621,북부순환로 (LP - 9) 11,장등동 928-1,,35.209202,126.927681,2022-11-10
8622,북부순환로 (LP - 9) 12,장등동 703-1,,35.20911,126.927818,2022-11-10
8623,북부순환로 (LP - 9) 13,장등동 926-1,,35.20895,126.928116,2022-11-10
8624,북부순환로 (LP - 9) 14,장등동 1047-1,,35.208771,126.928398,2022-11-10
8625,북부순환로 (LP - 9) 15,장등동 산 188-9,,35.208641,126.928635,2022-11-10
8626,북부순환로 (LP - 9) 16,장등동 산 188-9,,35.208492,126.928886,2022-11-10
8627,북부순환로 (LP - 9) 17,장등동 산 188-7,,35.208317,126.929176,2022-11-10
8628,북부순환로 (LP - 9) 18,장등동 773-7,,35.208179,126.929398,2022-11-10
8629,북부순환로 (LP - 9) 19,장등동 773-12,,35.208019,126.929634,2022-11-10
8630,북부순환로 (LP - 9) 20,장등동 773-9,,35.207825,126.929886,2022-11-10
8631,북부순환로 (LP - 9) 21,장등동 780-33,,35.2074624,126.9303054,2022-11-10
8632,북부순환로 (LP - 9) 22,장등동 780-34,,35.207207,126.93058,2022-11-10
8633,북부순환로 (LP - 9) 23,장등동 780-35,,35.207073,126.930702,2022-11-10
8634,북부순환로 (LP - 9) 24,장등동 780-35,,35.206841,126.930916,2022-11-10
8635,북부순환로 (LP - 9) 25,장등동 781-1,,35.206547,126.931145,2022-11-10
8636,북부순환로 (LP - 9) 26,장등동 781-2,,35.206356,126.931297,2022-11-10
8637,북부순환로 (LP - 9) 27,장등동 802-4,,35.206188,126.931419,2022-11-10
8638,북부순환로 (LP - 9) 28,장등동 807-5,,35.205975,126.931564,2022-11-10
8639,북부순환로 (LP - 9) 29,장등동 807-5,,35.20575,126.93177,2022-11-10
8640,북부순환로 (LP - 9) 30,장등동 1034-8,,35.205536,126.931908,2022-11-10
8641,북부순환로 (LP - 9) 31,장등동 산 232-1,,35.205376,126.932022,2022-11-10
8642,북부순환로 (LP - 9) 32,장등동 산 232-1,,35.205124,126.93222,2022-11-10
8643,북부순환로 (LP - 9) 33,장등동 산 232-2,,35.204941,126.932335,2022-11-10
8644,북부순환로 (LP - 9) 34,장등동 산 230-5,,35.20462,126.932465,2022-11-10
8645,북부순환로 (LP - 8) 30,장등동 산 256-1,,35.20483,126.932785,2022-11-10
8646,북부순환로 (LP - 8) 29,장등동 산 232-2,,35.205116,126.932571,2022-11-10
8647,북부순환로 (LP - 8) 28,장등동 산 232-1,,35.2053475,126.9324255,2022-11-10
8648,북부순환로 (LP - 8) 27,장등동 산 232-1,,35.2053753,126.9323013,2022-11-10
8649,북부순환로 (LP - 8) 26,장등동 산 233-6,,35.205696,126.93206,2022-11-10
8650,북부순환로 (LP - 8) 25,장등동 1034-8,,35.205914,126.9318916,2022-11-10
8651,북부순환로 (LP - 8) 24,장등동 807-1,,35.20612,126.931755,2022-11-10
8652,북부순환로 (LP - 8) 23,장등동 802-2,,35.206295,126.931625,2022-11-10
8653,북부순환로 (LP - 8) 22,장등동 802-2,,35.20644,126.931519,2022-11-10
8654,북부순환로 (LP - 8) 21,장등동 802-2,,35.206696,126.931435,2022-11-10
8655,북부순환로 (LP - 8) 20,장등동 782-10,,35.206905,126.931152,2022-11-10
8656,북부순환로 (LP - 8) 19,장등동 780-34,,35.207157,126.930923,2022-11-10
8657,북부순환로 (LP - 8) 18,장등동 780-33,,35.207386,126.930717,2022-11-10
8658,북부순환로 (LP - 8) 17,장등동 780-32,,35.2076888,126.9304004,2022-11-10
8659,북부순환로 (LP - 8) 16,장등동 773-10,,35.207962,126.930084,2022-11-10
8660,북부순환로 (LP - 8) 15,장등동 773-9,,35.208157,126.92981,2022-11-10
8661,북부순환로 (LP - 8) 14,장등동 783-14,,35.208321,126.929573,2022-11-10
8662,북부순환로 (LP - 8) 13,장등동 1047-3,,35.208466,126.929352,2022-11-10
8663,북부순환로 (LP - 8) 12,장등동 산 188-9,,35.20858,126.929169,2022-11-10
8664,북부순환로 (LP - 8) 11,장등동 산 188-8,,35.208736,126.928871,2022-11-10
8665,북부순환로 (LP - 8) 10,장등동 1047-1,,35.208935,126.928566,2022-11-10
8666,북부순환로 (LP - 8) 9,장등동 926-1,,35.209148,126.92823,2022-11-10
8667,북부순환로 (LP - 8) 8,장등동 926-1,,35.209236,126.928055,2022-11-10
8668,북부순환로 (LP - 8) 7,장등동 703-1,,35.209385,126.927795,2022-11-10
8669,북부순환로 (LP - 8) 6,장등동 703-1,,35.209515,126.927582,2022-11-10
8670,북부순환로 (LP - 8) 5,장등동 702-2,,35.209789,126.927116,2022-11-10
8671,북부순환로 (LP - 8) 4,장등동 701-1,,35.210007,126.926781,2022-11-10
8672,북부순환로 (LP - 8) 3,장등동 1046-4,,35.21011,126.926537,2022-11-10
